Alexander Michalik,Bramkarz,GK,Sonnenhof-Grossaspach,Niemcy
Jakub Zieliński,Bramkarz,GK,Wolfsburg U19,Niemcy
Albert Posiadała,Bramkarz,GK,Molde,Norwegia
Jeremi Maciej Kamecki,Bramkarz,GK,Eik Tonsberg,Norwegia
Kuba Masalski,Bramkarz,GK,Elverum,Norwegia
Cezary Miszta,Bramkarz,GK,Rio Ave,Portugalia
Hubert Charuży,Bramkarz,GK,Porto U19,Portugalia
Kevin Dąbrowski,Bramkarz,GK,Koszyce,Słowacja
Maksymilian Stryjek,Bramkarz,GK,Kilmarnock,Szkocja
Miłosz Śliwiński,Bramkarz,GK,Queen's Park,Szkocja
Szymon Rebilas,Bramkarz,GK,Inverness,Szkocja
Danar Strzelec Farag,Bramkarz,GK,Strathspey,Szkocja
Patrick Zajac,Bramkarz,GK,Kriens,Szwajcaria
Daniel Kurowski,Bramkarz,GK,Dietikon,Szwajcaria
Jan Jach,Bramkarz,GK,Yverdon Jugend,Szwajcaria
Jakub Ojrzyński,Bramkarz,GK,Orebro,Szwecja
Oliwier Oleksiewicz,Bramkarz,GK,Gute,Szwecja
Mateusz Lis,Bramkarz,GK,Goztepe,Turcja
Jakub Szumski,Bramkarz,GK,Sakaryaspor,Turcja
Damian Las,Bramkarz,GK,Austin FC,USA
Jeff Gal,Bramkarz,GK,Chicago,USA
JT Marcinkowski,Bramkarz,GK,LA Galaxy,USA
Tobias Szewczyk,Bramkarz,GK,New York Red Bulls,USA
Thomas Burchfield,Bramkarz,GK,North Texas SC,USA
Tomas Hut,Bramkarz,GK,Red Bulls II,USA
David Greczek,Bramkarz,GK,Motown FC,USA
Mikołaj Lenarcik,Bramkarz,GK,Elon Phoenix,USA
Marc Popów,Bramkarz,GK,KC Roos,USA
Daniel Polakowski,Bramkarz,GK,Manhattan Jaspers,USA
Patryk Los,Bramkarz,GK,Michigan Wolverines,USA
Alan Rutkowski,Bramkarz,GK,North Carolina Tar Heels,USA
Jakub Grzesiak,Bramkarz,GK,Oral Roberts,USA
Dawid Szczepaniak,Bramkarz,GK,Flint Town,Walia
Jakub Nowak,Bramkarz,GK,Swansea U18,Walia
Oliver Karolak,Bramkarz,GK,TNS Development,Walia
Łukasz Skorupski,Bramkarz,GK,Bologna,Włochy
Piotr Pardel,Bramkarz,GK,Atalanta U23,Włochy
Jakub Greliak,Bramkarz,GK,Athletic Palermo,Włochy
Antoni Wodzicki,Bramkarz,GK,Nocerina,Włochy
Franciszek Olszewski,Bramkarz,GK,Nola,Włochy
Radosław Żelezny,Bramkarz,GK,Roma U23,Włochy
Karol Góralczyk,Bramkarz,GK,Torino U17,Włochy
Dawid Nowicki,Bramkarz,GK,Hoyvik,Wyspy Owcze
